K,Error
0,4.660582454916869
1,4.517612249154075
2,4.078415926052719
3,4.768799793302809
4,4.4144154770179
5,5.023484117729954
6,4.8837807144428735
7,5.289957448094813
8,4.822299356639493
9,4.6041774060900735
10,4.569484533468903
11,4.037771756186096
12,3.160356882159583
13,3.053905071834891
14,2.9702727981012638
15,2.983301073114189
16,2.8607750641593355
17,2.774241146730741
18,2.8315900802935
19,2.786901011243387
20,2.696957024039471
21,2.539386875194913
22,2.379458581372515
23,2.2480693246492036
24,2.1327440100641994
25,2.0383280258681538
26,1.9616082281808533
27,1.9031373875942348
28,1.8662089403398807
29,1.831074437430151
30,1.793642434041418
31,1.7511395349501855
32,1.7143178018752228
33,1.7031785202322092
34,1.6646772899035744
35,1.636467747499022
36,1.6205972093035346
37,1.6040403223386048
38,1.5833153012161265
39,1.559633560931683
40,1.5350890917349351
41,1.5113428551808705
42,1.4880353398651383
43,1.4648695874940898
44,1.4415635138958236
45,1.416784723911514
46,1.3913796260955282
47,1.366394203324572
48,1.3419189365883442
49,1.3178700331398037
50,1.2943909367506383
51,1.2706014399323242
52,1.2468866498192557
53,1.2236414256467159
54,1.200050108348743
55,1.175650582040509
56,1.1510589730797134
57,1.125853863714898
58,1.1006143932602654
59,1.0760278569411774
60,1.051497759293314
61,1.0253168806201165
62,0.9986556746670097
63,0.9735410994075901
64,0.9476799915141841
65,0.9206668021463682
66,0.8963929215410402
67,0.87410062316588
68,0.8484211344679808
69,0.8226680317666669
70,0.8006194650209557
71,0.7817584977635416
72,0.7616575819762603
73,0.7415550534341513
74,0.7222717926390431
75,0.7057103966473025
76,0.6897257445150748
77,0.6739953946036165
78,0.6589417895595081
79,0.6444546132919479
80,0.6313554680967606
81,0.6215253464243768
82,0.6133904483337619
83,0.6031022418589111
84,0.5885690847712552
85,0.5766712089307395
86,0.5678877607031821
87,0.5602037705246109
88,0.5526024831290453
89,0.545007907880995
90,0.5369581143980856
91,0.5290180289220264
92,0.52239591541326
93,0.5169515063521352
94,0.5107370338158022
95,0.5041010217994976
96,0.4980410192405174
97,0.492427879812597
98,0.4871278113859318
99,0.4819869103091408
100,0.4773366119608887
101,0.4727679695136791
102,0.46815153856109926
103,0.4634930978428186
104,0.45916211923565753
105,0.4561830091678395
106,0.4540690237827939
107,0.45148695123758564
108,0.44726947403065265
109,0.4418860002922126
110,0.43701760409455304
111,0.4333658676879023
112,0.4313707825149819
113,0.4290880128658367
114,0.4261415211414032
115,0.4225247613956477
116,0.4181524123122769
117,0.4146482892807337
118,0.4118606197897732
119,0.40927988680476807
120,0.40663984310853224
121,0.40390301556449887
122,0.40129071761917484
123,0.3989200459875199
124,0.3970347119095686
125,0.3951845228669267
126,0.3928713158794646
127,0.39014949128710863
128,0.387688880677841
129,0.38547869462811457
130,0.383313255311169
131,0.3812348652469223
132,0.37910313149766567
133,0.37705859544795967
134,0.3750002173966399
135,0.3730174816090738
136,0.37093167868602916
137,0.3689628849552931
138,0.3673415160386524
139,0.36620683418264166
140,0.36479785062885894
141,0.3628820934882191
142,0.36106829448027744
143,0.3591914584023983
144,0.3572935706874029
145,0.35571021545870685
146,0.3540926516055161
147,0.35240861022546993
148,0.3508279849404444
149,0.34934264550752686
150,0.34782659146918776
151,0.34647212953343365
152,0.34527945975288693
153,0.3440143012699194
154,0.3427567194983818
155,0.3415756255527142
156,0.34029893362627156
157,0.33880087188405217
158,0.3372603194301279
159,0.33585537034932783
160,0.3345168369487986
161,0.33314393805456854
162,0.3319756066731579
163,0.33081635067416865
164,0.3297547269645185
165,0.3285940426034751
166,0.3272758222893821
167,0.32595324480548826
168,0.32472212129261757
169,0.32351050313591895
170,0.32244628569237205
171,0.32136576498899494
172,0.32026516156254803
173,0.31922126182350113
174,0.31819546994371734
175,0.3171787756345163
176,0.3161384143832576
177,0.31515747777349656
178,0.3140818150844697
179,0.3130795716665247
180,0.3119695376020565
181,0.311019292582714
182,0.3101426008480935
183,0.3091044223701957
184,0.3081818451168906
185,0.30736613876544633
186,0.3065191384110296
187,0.3055151468776847
188,0.3043324710767991
189,0.3032797377487533
190,0.3023541533167191
191,0.30143344318899357
192,0.3006853860741917
193,0.2999219360852374
194,0.299267825290462
195,0.29881008114061414
196,0.29817383169623096
197,0.297519675647094
198,0.2968961659723346
199,0.2961307928917937
200,0.2951386447527714
201,0.2940759372923876
202,0.2930378717266726
203,0.29260178315804025
204,0.2924817909248442
205,0.29238075451640433
206,0.2912841684324
207,0.2896403347783992
208,0.28790396411317104
209,0.2868798942386236
210,0.28602662739440743
211,0.2852564803400002
212,0.28460797103853874
213,0.2838993115426082
214,0.2832952841156987
215,0.28243057122912935
216,0.28156114239943064
217,0.2807330304754864
218,0.2799852010849737
219,0.27929220152278844
220,0.27862445717922796
221,0.27802392495636347
222,0.2773333000794328
223,0.27656521474884727
224,0.2758635222260199
225,0.27515138017411755
226,0.2744435923221551
227,0.27376314358061477
228,0.27317745723063375
229,0.2725464137788879
230,0.2717594054097783
231,0.27107222199987707
232,0.2703707328249074
233,0.26969405070923264
234,0.26905597351654076
235,0.26850412802333246
236,0.26799149451093973
237,0.26739691954086564
238,0.26670227145752884
239,0.2660296146959119
240,0.26552655025660127
241,0.26505345463839014
242,0.2645061372904549
243,0.2638291804503994
244,0.26302757000530935
245,0.2621791651218762
246,0.26161596556426053
247,0.261182227595509
248,0.26126229301287435
249,0.26148003723879426
250,0.2610914514532227
251,0.2603657453697375
252,0.25931598148481966
253,0.25811902605678955
254,0.2572420299772549
255,0.2565867569686331
256,0.2561267952300571
257,0.2557073337619203
258,0.25503033369103123
259,0.25429736706116357
260,0.25365307453475255
261,0.25303194918792676
262,0.25253750037655637
263,0.2520729226410299
264,0.25161821856746974
265,0.2511133912652067
266,0.25065520828886123
267,0.25030234093584786
268,0.24981408816492617
269,0.24921321501142507
270,0.2487544344486058
271,0.24834784960067996
272,0.2477222026075879
273,0.24694092408912616
274,0.24648969579874322
275,0.2460489852579769
276,0.24566157334712238
277,0.2453003078290839
278,0.2449191320620708
279,0.24464059071868186
280,0.24399316977242666
281,0.243607649826749
282,0.2432039204323583
283,0.24274796219446654
284,0.24226178625014397
285,0.24193819144731793
286,0.24163777355806446
287,0.2413792535102169
288,0.24113844135423873
289,0.2408005205273548
290,0.24031278536356146
291,0.239958580921578
292,0.23954230474935487
293,0.2391926600176054
294,0.23876894620263792
295,0.2384711980280698
296,0.23832122598275224
297,0.23793970384737417
298,0.23742593311615637
299,0.23690830135832558
300,0.23655971454179198
301,0.23627437915366356
302,0.23595662177607035
303,0.23577069955805302
304,0.23543813300989505
305,0.23487188861641753
306,0.23434853824278543
307,0.23395067862210764
308,0.23363883372014935
309,0.2331493436323743
310,0.23308916776107005
311,0.23307717931214675
312,0.2326460461587016
313,0.2324221117831546
314,0.23205693006654995
315,0.23177951708268385
316,0.23130866961345353
317,0.23074194083923671
318,0.23026381429203097
319,0.22995645726824399
320,0.22959558133407726
321,0.22924071999462264
322,0.22898200411111583
323,0.2287052714097717
324,0.2283517294039276
325,0.22802146431295914
326,0.2276882065839843
327,0.22744863879471375
328,0.22727903569170985
329,0.22682632336222758
330,0.2264446646221806
331,0.22592921219217263
332,0.22559894446338408
333,0.22529676702281504
334,0.22506767089715102
335,0.22499234611147034
336,0.22483467805281862
337,0.22449008954023572
338,0.223990175011692
339,0.2236299754805159
340,0.22327590162854513
341,0.22302622804018757
342,0.22280756372615293
343,0.22247185101837633
344,0.22213563025103533
345,0.221701223314363
346,0.22130348270379133
347,0.22097259309466352
348,0.2207615405226528
349,0.22053820543016964
350,0.2203817483826948
351,0.22022163148050267
352,0.22006489526687112
353,0.2200929429267189
354,0.21987250344595313
355,0.21934890460839016
356,0.21866765637877994
357,0.21812039389710927
358,0.21770602095022681
359,0.2173566981683272
360,0.21704269630565326
361,0.21679215590364143
362,0.2165054779024896
363,0.21626971874251852
364,0.21615964293195322
365,0.2157708472315658
366,0.21543453786684025
367,0.21509069324211907
368,0.21466484553286685
369,0.2143116849793032
370,0.21399988678913093
371,0.21372042957076767
372,0.21349484378794303
373,0.21329828571172368
374,0.21305159653631
375,0.21274908399054127
376,0.21241916303890312
377,0.21213314813632264
378,0.21196745391376454
379,0.21170618399531013
380,0.21134021303987258
381,0.21110787307213283
382,0.21089174092039273
383,0.21067492331802523
384,0.21040938411941057
385,0.21018093325305792
386,0.2100973703611878
387,0.2099067232246082
388,0.2098010089062135
389,0.2093988400739602
390,0.20899828752948116
391,0.20873206256249519
392,0.20832901811096605
393,0.2080114664574298
394,0.2077374816065274
395,0.20750073338890868
396,0.20732132187415866
397,0.20709129244039534
398,0.2068102027629231
399,0.20650756318726107
400,0.20620734711051114
401,0.20592013397675005
402,0.20553462805455325
403,0.20519781403203805
404,0.20491628530763223
405,0.20463513951816348
406,0.20435742115834266
407,0.20411555494811112
408,0.20389262526835006
409,0.20369561772051603
410,0.20357129841708513
411,0.20346995847586943
412,0.2032907611307922
413,0.20294167682391714
414,0.20256894885707444
415,0.2022172094300265
416,0.20190282624254924
417,0.20161198032752423
418,0.20130743833995948
419,0.2009938473953356
420,0.20072847545236458
421,0.20046100289378732
422,0.20024495322791952
423,0.2000033777717205
424,0.19973900721610016
425,0.19943523205852895
426,0.19919313242211278
427,0.19893298120680897
428,0.19870103417722068
429,0.19850736219486587
430,0.19843200250512366
431,0.19842732491733087
432,0.19815827555849322
433,0.19795000349305125
434,0.1977353730177028
435,0.1974689542995208
436,0.19727569896228478
437,0.1970122687315249
438,0.19673306176868083
439,0.19660124367302245
440,0.19631898677189655
441,0.1958948251581395
442,0.1955994702277677
443,0.1953772420695986
444,0.1951964274633742
445,0.19504305075593262
446,0.19488175369030886
447,0.19468315436883868
448,0.19441456486795308
449,0.19406662082433726
450,0.19394307074984604
451,0.19391115863430336
452,0.19364136831798476
453,0.1931230958862407
454,0.19268347476812714
455,0.19243505783166814
456,0.19226674428237348
457,0.1920938542440304
458,0.19183454180116777
459,0.19169148656524812
460,0.19151917537042412
461,0.19127616538858766
462,0.1910164497590936
463,0.1907348288914715
464,0.1904730442231414
465,0.19032077278659512
466,0.1902749283904566
467,0.19009718461894506
468,0.19000181248310682
469,0.18989711071531673
470,0.18965264708851814
471,0.18930081584573946
472,0.1889306234555178
473,0.1887285269887152
474,0.18848830323503957
475,0.18827791018936993
476,0.18811648906409828
477,0.1879215063515771
478,0.18786791695632155
479,0.18764976626654858
480,0.18746341593079305
481,0.18715572708861575
482,0.18683071457965583
483,0.18648337948008142
484,0.18629612316644267
485,0.18613075279510735
486,0.18574042843133243
487,0.18545579911989046
488,0.18520776694908958
489,0.18507152199317492
490,0.18504699885719209
491,0.18483880443881942
492,0.18452780597692034
493,0.18428046785578173
494,0.18407526047804978
495,0.18395277300446775
496,0.18370553794602293
497,0.1834803513945165
498,0.18327323473455245
499,0.18305625291848
500,0.1828482175376814
501,0.18258941014203592
502,0.18236325521972752
503,0.18223582968749075
504,0.18209361878692493
505,0.18195298263972262
506,0.18174235050342225
507,0.18150667058035244
508,0.18130067567739658
509,0.1809009259034424
510,0.18062050653189715
511,0.18059612357566218
512,0.1804400324841383
513,0.18011625973184772
514,0.1798006057943759
515,0.1795735652898732
516,0.17936509882638074
517,0.17923141057250658
518,0.17934819081592643
519,0.17946000380957894
520,0.1793395513667708
521,0.17897932181256426
522,0.17845916683661828
523,0.17813412211125304
524,0.17781950380479822
525,0.17753175922797046
526,0.17738983285451929
527,0.17734575726909668
528,0.17712660109774447
529,0.1768649952056545
530,0.17661051291869673
531,0.17639902556057763
532,0.17624214729333404
533,0.17603830260693784
534,0.17582762736056717
535,0.17557342258230035
536,0.17539888561692987
537,0.1752086288968497
538,0.17504309419419636
539,0.17486023436986622
540,0.17463161052735698
541,0.17441971796939088
542,0.17420734891122994
543,0.1740244718331102
544,0.17388783050393825
545,0.17383069147263605
546,0.1735623717848833
547,0.17327227223839534
548,0.1730672400103417
549,0.1729745229330295
550,0.17302219323255458
551,0.17305649483795874
552,0.17273516282485865
553,0.1724041473850329
554,0.17216723881968207
555,0.17205806909442478
556,0.1719336803398169
557,0.1717987399684207
558,0.17173417028760166
559,0.171601218408512
560,0.1713336376851309
