K,Error
0,1.1454430043532546
1,1.136654661171599
2,1.127738224252077
3,1.119128351310256
4,1.1108256695697856
5,1.1030388933813609
6,1.0952908547190319
7,1.0876309201739351
8,1.0804731888236292
9,1.073455567560863
10,1.0665060714400298
11,1.059766060828113
12,1.0533933407374145
13,1.0468301851162543
14,1.0403089501435412
15,1.033985904330136
16,1.0277946278046737
17,1.021803466888169
18,1.0158402857190423
19,1.0099396320376255
20,1.0040381357060577
21,0.9983185690180086
22,0.9927432503444316
23,0.9872037661148046
24,0.9817055047474054
25,0.9764292371137535
26,0.971014803301294
27,0.96581894605962
28,0.9607411989519481
29,0.9554997487990126
30,0.9504642019712111
31,0.9453700790415949
32,0.9404788883991047
33,0.935750906921564
34,0.9309817953641084
35,0.9261853343880677
36,0.9214429281805611
37,0.9167522240993251
38,0.9121794827803771
39,0.9075856269581031
40,0.9030205465355834
41,0.8984936802937217
42,0.8940071264331307
43,0.8896885210598819
44,0.8852340895909906
45,0.8806825037609634
46,0.8762829796109757
47,0.8719687086245818
48,0.8676342817820131
49,0.8632700819820537
50,0.8588449335370119
51,0.8544830246407663
52,0.8502241612047573
53,0.8459374635733345
54,0.8417157437276849
55,0.8373892098427703
56,0.8331133467833033
57,0.8286706831066226
58,0.8245119558581635
59,0.8201892571951194
60,0.8158620402728883
61,0.8113979439966218
62,0.8071681663983978
63,0.8028242216503446
64,0.798535720709985
65,0.7942986013811593
66,0.790003140884352
67,0.7857418126908433
68,0.781454329008101
69,0.7772945304731089
70,0.7730944242958836
71,0.76888350264992
72,0.7648252343116629
73,0.7607259967773771
74,0.7568579243439715
75,0.7528953955795945
76,0.7489168119277994
77,0.7450307212300793
78,0.7411727538482253
79,0.7373515390032866
80,0.7336143013877567
81,0.7297936272176965
82,0.7260934723574882
83,0.722419788335525
84,0.7189370266993919
85,0.7153675404992534
86,0.7118596564875502
87,0.7084002249371616
88,0.7049828698224447
89,0.7017075637857701
90,0.6984242301434533
91,0.6952080181212976
92,0.6920331073274563
93,0.6888192880416137
94,0.6857133133752953
95,0.6826728149118104
96,0.67947988531158
97,0.6764073692887919
98,0.6734202362888441
99,0.6705174187661669
100,0.6676430019819681
101,0.6647352502013617
102,0.6618848783163703
103,0.6590461183112964
104,0.6561836187835288
105,0.6534105700672809
106,0.6506316565914527
107,0.6478845236426809
108,0.6451349898819607
109,0.6423306342318111
110,0.6395263203966494
111,0.6366933630317335
112,0.6339401406960536
113,0.6311594443649055
114,0.6283489105695496
115,0.6255319432283758
116,0.6228249707435193
117,0.6200974648029668
118,0.6174084599896102
119,0.6146280791519554
120,0.6118053269045268
121,0.6090978943497476
122,0.606329903148606
123,0.6035470697082107
124,0.6008457615777856
125,0.5981608863957708
126,0.5953818030937827
127,0.5925773308409873
128,0.5897055505576903
129,0.5869650160460348
130,0.5843289543667544
131,0.5814379752245769
132,0.5787308240777175
133,0.575810170171921
134,0.5729389965153654
135,0.5702166154341238
136,0.5672866700836339
137,0.5643668127402682
138,0.5614924560191841
139,0.5586452576045013
140,0.5556257824749441
141,0.5528382316535062
142,0.550186988403425
143,0.5473910602991299
144,0.5444383628313137
145,0.5414567099021741
146,0.5385747726281521
147,0.5356307158703477
148,0.5327015543086376
149,0.5297145176242083
150,0.5267276607113618
151,0.5237673626020107
152,0.5209245302928383
153,0.5181354598483097
154,0.5154089980656144
155,0.5121847009542978
156,0.5091938667102593
157,0.506317738147855
158,0.5035070376434748
159,0.500598412313721
160,0.49772139242898766
161,0.49476140933689344
162,0.4917238212635358
163,0.48882747807766586
164,0.48572592078535837
165,0.48267898813277654
166,0.4797681378866103
167,0.47705767790248627
