K,Norm
0,1645.5501144226016
1,1601.5411389591106
2,1593.5548350294785
3,1447.2207012889912
4,1303.4903285713972
5,1440.1360445061205
6,1450.049007248969
7,1147.1928050402246
8,1231.1164938143347
9,1136.416300486663
10,1045.0617234689716
11,1092.1220077809246
12,994.142334530326
13,953.4070354983761
14,1060.327161157149
15,946.4008816724975
16,1026.7031867222993
17,892.3036342805967
18,854.1423399505285
19,1033.7808318090567
20,945.3303629473271
21,902.5870272962511
22,910.3383623143792
23,971.6007512764971
24,877.1450485269777
25,823.0186431027678
26,812.0527983319046
27,950.3636490332215
28,1086.9211660988544
29,746.4754433782657
30,789.0672405711126
31,721.9514929124466
32,655.881769976798
33,753.3000136787124
34,693.9737651619353
35,614.7746302321195
36,611.2887557461379
37,596.8568666487513
38,637.7065610875177
39,510.17813667980727
40,505.12188097510403
41,441.7888780646666
42,622.1125187719707
43,524.0028003983126
44,571.7645515575397
45,573.5366211545091
46,574.6678646915168
47,532.3467222543194
48,395.77099710559287
49,399.11601807936256
50,419.3645855500141
51,459.6877251133395
52,451.86814321479744
53,387.3581972086319
54,409.1052262681699
55,341.05396309324544
56,347.20962724270265
57,336.2238360533431
58,338.03716489918185
59,604.1992495671749
60,305.2275756165358
61,270.1293455942021
62,396.08704904516406
63,353.23641744685176
64,290.7271658531175
65,302.82714684705445
66,283.8165690092612
67,329.2046667420857
68,296.8610768550622
69,246.2898075216767
70,1577.0465588829022
71,237.82264208580287
72,373.3955299698445
73,498.744956610626
74,286.87047698577294
75,226.19852763200703
76,280.92498591524424
77,222.88981316072335
78,304.2460217406727
79,199.68331776468045
80,247.8597002989838
81,224.8831067701424
82,281.1922176337985
83,267.50703478770413
84,242.02091303787572
85,218.66201137373858
86,239.9057834424294
87,192.8731711004099
88,180.33836810575062
89,173.123504982358
90,228.7282839148194
91,1570.5138280190884
92,178.75095060269908
93,342.81121008772817
94,394.00360004522713
95,285.2698286311161
96,171.80752428587428
97,192.78179826030143
98,175.72669929168262
99,211.41178002212965
100,161.96231017409394
101,228.2163195880389
102,161.4285100029639
103,195.32495908752622
104,143.07443681916033
105,186.82059077496953
106,156.43509451976027
107,219.06710882095302
108,398.56461290401967
109,144.1263167152968
110,201.0180071256505
111,159.3449901767935
112,133.10300567863132
113,244.03873121153882
114,130.87784348026443
115,146.97713700262585
116,194.33100987673885
117,179.5669710920821
118,268.1256050878852
119,150.4418677922583
120,122.64411611552659
121,179.06262742942295
122,168.42035359962418
123,167.03828377335017
124,132.18681673773392
125,237.58375587951264
126,178.69925343434207
127,273.32386329054617
128,149.45323509029114
129,197.911225713478
130,159.46202146524664
131,287.8951034915937
132,119.93559784959248
133,536.5342966421144
134,174.65086396082833
135,178.5424616011187
136,116.36241492137448
137,116.70668986440491
138,110.86114797506524
139,127.7607641447114
140,143.00401518195272
141,247.54116003553457
142,173.56421288002088
143,153.92972814076296
144,357.6152038491359
145,163.3141841894264
146,128.40434701897522
147,176.52309536751864
148,240.32547409619363
149,294.3301439992809
150,120.89074566717446
151,172.71327822140606
152,155.7202734629293
153,155.27713468779487
154,326.5324317166062
155,192.63173077328113
156,148.86989680781736
157,1310.1669458689437
158,301.6477143465767
159,312.4625506205704
160,190.6035219779934
161,219.27153762502977
162,162.3017022326201
163,116.81936452431111
164,117.20912430264848
165,122.49255343681378
166,136.6290152714172
167,159.77310023829313
168,156.44188539670995
169,104.73771911564587
170,175.4258100818542
171,108.76326077657592
172,90.97806861461665
173,120.33253957051247
174,75.96702941604454
175,153.31420819599174
176,151.7407754701617
177,129.54451447957646
178,104.68961169300935
179,100.76788672405027
180,104.65150452233048
181,79.54575295137674
182,120.23969221878045
183,282.2157573212112
184,148.3640762491792
185,203.30203270195744
186,312.85031536111785
187,92.20299850507666
188,126.62810909452185
189,128.41121054751588
190,94.29847888056389
191,100.36737274454573
192,315.5883930416811
193,198.54984865695377
194,146.22606509398253
195,157.7921157107045
196,138.44953645817557
197,96.62867859043183
198,103.1554889174619
199,371.4856500175804
200,283.82862726641304
201,112.00755757190493
202,220.80270000726156
203,288.861518447348
204,306.5333884639083
205,133.94260139716152
206,253.77496653033356
207,182.12534082981736
208,125.65710388938591
209,123.42835455940747
210,157.29217433945388
211,130.0556843798293
212,78.66133709930772
213,127.13135191487905
214,111.54576971357696
215,86.888039270806
216,193.19123342954717
217,171.40299942258346
218,75.59108037184485
219,1040.5849112675653
220,113.73553017451306
221,417.1206969643352
222,366.94790962141076
223,117.59280761684357
224,135.3591535796261
225,162.8286777511269
226,127.61989748026018
227,100.61265899211554
228,91.6863056604737
229,141.11358265680073
230,86.70296380890701
231,133.16639243209963
232,109.7596831410861
233,190.708325316558
234,145.27862742005033
235,132.83997897940625
236,119.1491870846651
237,110.34557081418195
238,55.70548700701825
239,370.04002407166206
240,143.30953860346065
241,195.72453678055905
242,170.3315293583307
243,177.4184320481691
244,128.9258542367803
245,110.91286140024759
246,125.06267619214037
247,245.31865056778773
248,155.0714947344825
249,192.89303836390494
250,154.7792084547891
251,168.62518741843738
252,193.19820639362217
253,99.89421329995463
254,120.71321025312407
255,175.93405910461334
256,286.7859087809696
257,203.9460889029778
258,276.18869616587745
259,125.17681054146927
260,92.94613939221877
261,97.87316238678113
262,285.0224531797604
263,210.23315823357117
264,182.109429414959
265,205.59605659875135
266,136.77440586161285
267,123.6297424212857
268,175.17393267044733
269,168.388297602894
270,102.7431304833195
271,275.2233351218714
272,290.9461638713719
273,118.89344150713124
274,187.9672476332457
275,194.7793709683822
276,194.0717910764035
277,200.9929123475009
278,69.50864414304212
279,308.90230339071456
280,83.55547822830019
281,139.5858275478751
282,159.51425207319406
283,174.47357182837118
284,83.44357958186865
285,61.394508737691275
286,94.62318200192618
287,87.46335147186065
288,150.45492091575107
289,146.55558574614687
290,150.35985427026063
291,1012.7343207152617
292,96.7744133541355
293,83.03213717897408
294,62.822672503790585
295,96.36464847377007
296,74.34025593598803
297,49.101013222938064
298,93.80323764647511
299,82.12965165373842
300,88.6230014106394
301,116.74403869020159
302,200.26246656322735
303,848.6460615452504
304,76.18268591688441
305,100.05355522997698
306,762.3626465999316
307,200.1300324982584
308,145.74296501809985
309,193.54867323431696
310,69.13105797286245
311,131.76275259376064
312,108.39158683448485
313,73.48724206281082
314,86.46208208572257
315,61.92106867533175
316,60.612537595975624
317,83.6262433163315
318,79.72299492401483
319,123.40905404338908
320,174.7906592189204
321,128.57967269287033
322,216.3740158304241
323,89.72157324567554
324,75.03055065176196
325,127.29191441167916
326,73.1212972621154
327,111.21600898434048
328,91.25660597453644
329,113.85392378553271
330,121.12924730568452
331,118.10176430840468
332,121.0281241049701
333,99.74752125009118
334,118.25741439035794
335,108.1044071074712
336,243.98329492589255
337,75.66903290114703
338,74.0269857983662
339,140.75249288031992
340,160.360586286103
341,64.51263522829065
342,199.78501653979643
343,94.35225333489589
344,125.16749784262691
345,149.08932158233088
346,181.41194916637718
347,78.07825810922674
348,133.60583100494216
349,142.16954030794878
350,109.28669319271263
351,117.44904223103859
352,75.78877111192904
353,95.11913767619787
354,197.85546693501522
355,182.55591111717112
356,116.00044651931634
357,120.38878682551291
358,206.90211877906563
359,270.576069682643
360,114.05993684597931
361,129.54451054947563
362,132.88794026375405
363,144.97902387569138
364,758.6879277604662
365,132.6908188245406
366,225.30969078091857
367,153.74918982664198
368,134.02897316098847
369,126.44564184032247
370,109.82054544819862
371,106.70970946334029
372,84.44431179490124
373,108.39984572115544
374,850.4712460583962
375,77.70913299419823
376,95.96088162790062
377,266.1986318414582
378,592.5967510387251
379,103.33979137378618
380,141.24646539417583
381,152.0046618336233
382,120.73105764205869
383,104.56131703604706
384,90.7323421251412
385,634.7024755985783
386,142.9737316429045
387,134.39203785151508
388,103.85885488079742
389,122.73978778969409
390,104.7272291535299
391,580.2794261132227
392,174.0712745546802
393,91.70589523167286
394,108.72099330654848
395,103.78635416690774
396,125.22042217424602
397,172.20211796500206
398,224.58308266008493
399,127.88959835411605
400,94.7599755549049
401,83.54738405619933
402,144.31954158094334
403,162.3676786783475
404,126.53631245493416
405,131.41545270188203
406,65.30259554228633
407,81.2787375710159
408,97.21848041727411
409,138.4956055042976
410,98.5844939529611
411,87.74844038168115
412,84.14009178792459
413,178.45599627524163
414,159.60674324813417
415,91.64822406670135
416,75.41381538428669
417,100.56897693639063
418,103.60745341670966
419,92.61445961122554
420,106.7536707707852
421,97.56199886939929
422,62.39951914431456
423,88.22301420629526
424,221.32311498346266
425,76.37584445954649
426,208.25385803736097
427,285.67262292648394
428,78.30166049043152
429,220.86913149679617
430,229.2589847622939
431,117.46556807517346
432,608.031544987991
433,99.10458926298317
434,160.11968865819802
435,128.47954574710982
436,108.31861654056131
437,151.37665656640326
438,116.16398663187171
439,240.5273199211076
440,114.06606108887031
441,85.20818500117342
442,248.3225057476651
443,146.02472233715486
444,156.38747404352034
445,301.509339966452
446,212.68521289005946
447,182.64958451528864
448,205.80180121499237
449,223.9662326999335
450,110.20989503195815
451,130.80963789716014
452,162.4160180646945
453,87.93373848091383
454,195.61768175221385
455,106.25815381540536
456,107.39520385606806
457,115.1520524615968
458,95.52818839543527
459,63.05785463937799
460,71.21297918839463
461,87.54182142319509
462,97.65715586802581
