Accuracy,StepsNum,SAGA,Method
0.5071674311926605,10000,True,NADAM
0.9194380733944955,10000,True,NADAM
0.5071674311926605,10000,True,NADAM
0.9071100917431193,10000,True,NADAM
0.9197247706422018,500,False,RMSPROP
0.9323394495412844,1000,False,RMSPROP
0.9380733944954128,500,False,NADAM
0.9438073394495413,1000,False,NADAM
0.9085435779816514,200,False,NADAM
0.9438073394495413,1000,False,NADAM
0.9469610091743119,2500,False,NADAM
0.880447247706422,1,False,NADAM
0.9134174311926605,5,False,NADAM
0.9237385321100917,10,False,NADAM
0.9538417431192661,50,False,NADAM
0.9426605504587156,25,False,NADAM
