Accuracy,StepsNum,SAGA,Method
0.5005732849226066,10000,True,NADAM
0.9205044907318938,10000,True,NADAM
0.5005732849226066,10000,True,NADAM
0.9079877699216511,10000,True,NADAM
0.9228931779094209,500,False,RMSPROP
0.9360787311293713,1000,False,RMSPROP
0.9396139881521116,500,False,NADAM
0.9417160328683356,1000,False,NADAM
0.9138161666348175,200,False,NADAM
0.9417160328683356,1000,False,NADAM
0.94649340722339,2500,False,NADAM
0.8841008981463787,1,False,NADAM
0.9124785018154022,5,False,NADAM
0.9236575578062297,10,False,NADAM
0.9541372061914771,50,False,NADAM
0.9436527436527437,25,False,NADAM
