Accuracy,StepsNum,SAGA,Method
6.111444787595729,10000,True,NADAM
23.04532731977306,500,False,NADAM
7.031339625289844,1000,False,NADAM
5.364008197467301,2000,False,NADAM
126.4554790909984,100,False,NADAM
7.031339625289844,1000,False,NADAM
4.070678810398717,10000,False,NADAM
19.488663227986976,1000,False,NADAM
8.557085915523372,1000,False,NADAM
4.235941581836835,2500,False,NADAM
73.53846531600897,200,False,NADAM
23.04532731977306,500,False,NADAM
7.031339625289844,1000,False,NADAM
4.235941581836835,2500,False,NADAM
23.04532731977306,500,False,NADAM
23.04532731977306,500,False,NADAM
23.045327319773058,500,False,NADAM
23.04532731977306,500,False,NADAM
23.04532731977306,500,False,NADAM
119.96684898197836,500,True,NADAM
119.96684898197836,500,True,NADAM
23.04532731977306,500,False,NADAM
126.4554790909984,100,False,NADAM
7.031339625289844,1000,False,NADAM
25.061372677976728,10,False,NADAM
101.34052864625154,1,False,NADAM
