Accuracy,StepsNum,SAGA,Method
0.7937511980065172,10000,True,NADAM
0.8125359401955147,500,False,NADAM
0.8261452942304006,1000,False,NADAM
0.8021851638872916,100,False,NADAM
0.8163695610504121,500,False,NADAM
0.8111941728963006,200,False,NADAM
0.8140693885374737,500,False,NADAM
0.8223116733755031,1000,False,NADAM
0.8393712861797968,5000,False,NADAM
0.8426298639064597,2500,False,NADAM
0.8922752539773816,2500,False,NADAM
0.8769407705577918,100,False,NADAM
0.8447511089206505,25,False,NADAM
