Accuracy,StepsNum,SAGA,Method
0.976401179941003,1000,True,NADAM
0.976401179941003,1000,True,NADAM
0.9528023598820059,1000,True,NADAM
0.9616519174041298,1000,True,NADAM
0.9705014749262537,1000,True,NADAM
0.9085545722713865,100,True,NADAM
0.9144542772861357,100,True,NADAM
0.9144542772861357,100,True,NADAM
0.9144542772861357,100,True,NADAM
0.9144542772861357,100,True,NADAM
0.9321533923303835,100,True,NADAM
0.9410029498525073,100,True,NADAM
0.943952802359882,100,True,NADAM
0.9321533923303835,100,True,NADAM
0.9174041297935103,100,True,NADAM
0.9380530973451328,100,True,NADAM
0.9351032448377581,100,True,NADAM
0.943952802359882,100,True,NADAM
0.9321533923303835,100,True,NADAM
1.0,10000,True,NADAM
1.0,10000,True,NADAM
1.0,1000,False,NADAM
0.9793510324483776,25,True,RMSPROP
1.0,10000,True,NADAM
0.9793510324483776,1000,True,NADAM
1.0,1000,False,NADAM
0.887905604719764,100,False,DIMINISHING
0.6312684365781711,100,False,DIMINISHING
0.6312684365781711,1000,False,DIMINISHING
0.6312684365781711,100,False,DIMINISHING
0.6312684365781711,100,False,DIMINISHING
0.8820058997050148,500,False,DIMINISHING
0.6312684365781711,500,False,DIMINISHING
0.9911504424778761,200,False,NADAM
0.887905604719764,200,False,DIMINISHING
0.9056047197640118,200,False,DIMINISHING
0.8938053097345132,200,False,DIMINISHING
0.8908554572271387,500,False,DIMINISHING
0.3687315634218289,1000,False,NADAM
0.9970501474926253,1000,False,RMSPROP
0.3687315634218289,500,False,RMSPROP
0.9970501474926253,500,False,RMSPROP
0.9970501474926253,500,False,RMSPROP
0.3687315634218289,500,False,RMSPROP
0.3687315634218289,500,False,NADAM
0.9970501474926253,500,False,NADAM
0.9882005899705014,100,False,NADAM
1.0,500,False,NADAM
0.9852507374631269,100,False,NADAM
0.9852507374631269,100,False,NADAM
0.9911504424778761,200,False,NADAM
0.9970501474926253,200,False,NADAM
0.9911504424778761,200,False,NADAM
0.9970501474926253,5000,False,NADAM
0.9970501474926253,1000,False,NADAM
0.9970501474926253,1000,False,NADAM
0.9911504424778761,200,False,NADAM
0.9970501474926253,1000,False,NADAM
0.9970501474926253,1000,False,NADAM
0.9970501474926253,2500,False,NADAM
