Accuracy,StepsNum,SAGA,Method
0.9732142857142857,1000,True,NADAM
0.9732142857142857,1000,True,NADAM
0.9285714285714286,1000,True,NADAM
0.9375,1000,True,NADAM
0.9732142857142857,1000,True,NADAM
0.9464285714285714,100,True,NADAM
0.9553571428571429,100,True,NADAM
0.9553571428571429,100,True,NADAM
0.9553571428571429,100,True,NADAM
0.9553571428571429,100,True,NADAM
0.9375,100,True,NADAM
0.9553571428571429,100,True,NADAM
0.9375,100,True,NADAM
0.9642857142857143,100,True,NADAM
0.9553571428571429,100,True,NADAM
0.9375,100,True,NADAM
0.9553571428571429,100,True,NADAM
0.9464285714285714,100,True,NADAM
0.9464285714285714,100,True,NADAM
0.9821428571428571,10000,True,NADAM
0.9821428571428571,10000,True,NADAM
0.9553571428571429,1000,False,NADAM
0.9285714285714286,25,True,RMSPROP
0.9732142857142857,10000,True,NADAM
0.9910714285714286,1000,True,NADAM
0.9553571428571429,1000,False,NADAM
0.9107142857142857,100,False,DIMINISHING
0.6428571428571429,100,False,DIMINISHING
0.6428571428571429,1000,False,DIMINISHING
0.6428571428571429,100,False,DIMINISHING
0.6428571428571429,100,False,DIMINISHING
0.9017857142857143,500,False,DIMINISHING
0.6428571428571429,500,False,DIMINISHING
0.9732142857142857,200,False,NADAM
0.9107142857142857,200,False,DIMINISHING
0.9196428571428571,200,False,DIMINISHING
0.9196428571428571,200,False,DIMINISHING
0.9285714285714286,500,False,DIMINISHING
0.35714285714285715,1000,False,NADAM
0.9732142857142857,1000,False,RMSPROP
0.35714285714285715,500,False,RMSPROP
0.9642857142857143,500,False,RMSPROP
0.9642857142857143,500,False,RMSPROP
0.35714285714285715,500,False,RMSPROP
0.35714285714285715,500,False,NADAM
0.9732142857142857,500,False,NADAM
0.9732142857142857,100,False,NADAM
0.9732142857142857,500,False,NADAM
0.9642857142857143,100,False,NADAM
0.9642857142857143,100,False,NADAM
0.9732142857142857,200,False,NADAM
0.9642857142857143,200,False,NADAM
0.9732142857142857,200,False,NADAM
0.9642857142857143,5000,False,NADAM
0.9642857142857143,1000,False,NADAM
0.9642857142857143,1000,False,NADAM
0.9732142857142857,200,False,NADAM
0.9642857142857143,1000,False,NADAM
0.9642857142857143,1000,False,NADAM
0.9642857142857143,2500,False,NADAM
0.9732142857142857,200,False,NADAM
0.9732142857142857,500,False,NADAM
0.35714285714285715,1000,True,NADAM
0.9553571428571429,1000,True,NADAM
0.9553571428571429,1000,True,NADAM
0.9553571428571429,1000,True,NADAM
0.9553571428571429,1000,True,NADAM
0.9732142857142857,500,False,NADAM
0.9642857142857143,1000,False,NADAM
0.9553571428571429,1000,True,NADAM
0.9553571428571429,1000,True,NADAM
0.9732142857142857,500,False,NADAM
0.9196428571428571,500,False,DIMINISHING
0.9196428571428571,500,False,DIMINISHING
0.9732142857142857,50,False,NADAM
0.9732142857142857,10,False,NADAM
0.9732142857142857,10,False,NADAM
0.9732142857142857,1,False,NADAM
0.9732142857142857,1,False,NADAM
0.9732142857142857,1,False,NADAM
0.6428571428571429,1,True,NADAM
0.9732142857142857,100,True,NADAM
0.9732142857142857,100,True,NADAM
0.9732142857142857,100,True,NADAM
0.9464285714285714,1000,True,NADAM
0.35714285714285715,1,True,NADAM
0.9732142857142857,100,True,NADAM
0.9732142857142857,100,True,NADAM
0.9732142857142857,100,True,NADAM
0.9732142857142857,100,True,NADAM
0.9732142857142857,100,True,NADAM
0.9642857142857143,1000,True,NADAM
0.6428571428571429,100,True,DIMINISHING
0.6428571428571429,1000,True,DIMINISHING
0.6428571428571429,1000,True,DIMINISHING
0.35714285714285715,1,False,DIMINISHING
0.6428571428571429,1,False,DIMINISHING
0.35714285714285715,1,False,DIMINISHING
0.35714285714285715,1,False,DIMINISHING
0.35714285714285715,1,False,DIMINISHING
0.35714285714285715,1,False,DIMINISHING
0.9107142857142857,1,False,DIMINISHING
