K,Error
0,2.1799420711583593
1,1.9509661948041321
2,1.7562837218135054
3,1.5481504742785543
4,1.3365150703436866
5,1.1390916588610658
6,0.9548181406934789
7,0.8032259004121006
8,0.6912517776930565
9,0.6220431165572284
10,0.5366228793434069
11,0.5335093141688433
12,0.4793685051574768
13,0.429459106317166
14,0.48303330312191156
15,0.4042813715063338
16,0.3852425174132381
17,0.4674979535470773
18,0.40189229493011663
19,0.3241979725261649
20,0.3795974611105688
21,0.37990941068667045
22,0.2956553606451601
23,0.2963716685736134
24,0.30113476579163445
25,0.2738547900458309
26,0.2632337149194433
27,0.2612100136636658
28,0.24699520709094713
29,0.24252090544936258
30,0.2407441750818267
31,0.23454663924320007
32,0.22185384626345228
33,0.2144657354215471
34,0.21533170617645825
35,0.2118992950221657
36,0.20748244817555886
37,0.2135074127469361
38,0.20248363457168742
39,0.1997337281085441
40,0.1998687188340546
41,0.19026643387959338
42,0.1821307418389448
43,0.1804489380667984
44,0.17728620402479028
45,0.1733858896924827
46,0.17461623103624285
47,0.17327965084441224
48,0.16692206017777395
49,0.17242854639779157
50,0.16807145700837098
51,0.16029593209075058
52,0.16503398681565185
53,0.15840272552017293
54,0.15383016039145522
55,0.1590472910199323
56,0.15418876505131401
57,0.14386762494104105
58,0.1570331517320319
59,0.16142316051593947
60,0.1415737926494964
61,0.15281178642475376
62,0.15997483469845683
63,0.14299528248756146
64,0.13926209611787752
65,0.1340070695960468
66,0.14150813999591713
67,0.13483333725778737
68,0.1291642746092909
69,0.13379299261033903
70,0.1324275869105428
71,0.1235343759842491
72,0.1228190527676607
73,0.12969092667254084
74,0.12543521826466617
75,0.12244477686257235
76,0.14013883546077743
77,0.13812277324437636
78,0.12180213128160561
79,0.12234907051674679
80,0.14034704748611132
81,0.1365740802878977
82,0.13050688263443644
83,0.1598441456269147
84,0.15236831422678776
85,0.1410947885153072
86,0.1910664062268685
87,0.1354405339332551
88,0.14518287203074762
89,0.18461524400881046
90,0.1242591720357154
91,0.13508750590459576
92,0.15176412174739126
93,0.1252014307344042
94,0.10237972468989158
95,0.1073985345537699
96,0.1066244825874389
97,0.09614365105450365
98,0.09811695872654978
99,0.0986121085380489
100,0.09272948689156847
101,0.09042419562801607
102,0.08898026053367614
103,0.08844124718159595
104,0.08854805954346295
105,0.0895922213178219
106,0.08524328831417889
107,0.08832965960366296
108,0.08539342527132202
109,0.08331261078465305
110,0.09011906149314525
111,0.08425617049426236
112,0.08013104632669445
113,0.08285529619961582
114,0.07811103627181794
115,0.07755394980105634
116,0.0795456947250395
117,0.0756145121432458
118,0.07673314854655064
119,0.07451935214501836
120,0.07531407684658759
121,0.0744996463075451
122,0.07455116715003145
123,0.07300113538849093
124,0.07366048332406351
125,0.0718236325418465
126,0.07750001559063222
127,0.07244460084092151
128,0.06687657252511511
129,0.06694342722281899
130,0.07049228881384735
131,0.06673704540896562
132,0.06692838772976104
133,0.06527676308035728
134,0.06597739909453022
135,0.06645392327115121
136,0.06374564137834139
137,0.06005322524826813
138,0.06389693002791642
139,0.06061664018760706
140,0.06069244786128559
141,0.0649219942297049
142,0.0588134734202753
143,0.058350280492958956
144,0.05867250084234072
145,0.057249159642263035
146,0.05351473140196529
147,0.0572382729063389
148,0.06026424221413214
149,0.0556748483630901
150,0.053059985694282094
151,0.05520592728202105
152,0.05835525697494387
153,0.05273627727488869
154,0.05204328899951435
155,0.06070632886685515
156,0.057383035255925474
157,0.051620364475951426
158,0.0543945437800471
159,0.058188781761559984
