Accuracy,StepsNum,SAGA,Method
0.8571428571428571,1000,True,NADAM
0.8192419825072886,1000,True,NADAM
0.8192419825072886,1000,True,NADAM
0.8542274052478134,1000,True,NADAM
0.8658892128279884,500,False,NADAM
0.8862973760932945,1000,False,NADAM
0.8425655976676385,200,False,NADAM
0.8658892128279884,500,False,ADADELTA
0.8629737609329446,500,False,NADAM
0.8658892128279884,500,False,ADADELTA
0.4489795918367347,500,True,NADAM
0.8658892128279884,500,False,ADADELTA
0.8279883381924198,10,False,ADADELTA
0.8046647230320699,10,False,ADADELTA
0.6705539358600583,10,False,ADADELTA
0.8279883381924198,10,False,ADADELTA
0.5510204081632653,10,False,ADADELTA
0.8658892128279884,10,False,ADADELTA
0.8658892128279884,10,False,ADADELTA
0.4489795918367347,100,True,ADADELTA
0.8279883381924198,1000,True,ADADELTA
0.8629737609329446,10,False,NADAM
0.8542274052478134,25,False,NADAM
0.8638132295719845,5,False,NADAM
0.8715953307392996,25,False,NADAM
