Accuracy,StepsNum,SAGA,Method
0.8430232558139535,1000,True,NADAM
0.8333333333333334,1000,True,NADAM
0.8333333333333334,1000,True,NADAM
0.8643410852713178,1000,True,NADAM
0.8846899224806202,500,False,NADAM
0.8788759689922481,1000,False,NADAM
0.8682170542635659,200,False,NADAM
0.8691860465116279,500,False,ADADELTA
0.875968992248062,500,False,NADAM
0.8691860465116279,500,False,ADADELTA
0.4127906976744186,500,True,NADAM
0.8691860465116279,500,False,ADADELTA
0.7955426356589147,10,False,ADADELTA
0.8023255813953488,10,False,ADADELTA
0.6792635658914729,10,False,ADADELTA
0.7955426356589147,10,False,ADADELTA
0.5872093023255814,10,False,ADADELTA
0.8711240310077519,10,False,ADADELTA
0.872093023255814,10,False,ADADELTA
